Loading,Pressure,Temperature,Amine Weight Percent,Amine Molar Mass,,,,,,,,,,,,,,,
2.7000E-03,4.6000E-05,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
2.9000E-03,1.3300E-04,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
3.9000E-02,5.8000E-05,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,, 
5.0000E-03,2.3200E-04,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.0400E-02,1.1600E-03,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.1400E-02,8.1200E-04,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
2.0500E-02,2.9600E-03,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
3.3500E-02,7.2300E-03,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
4.1200E-02,9.5200E-03,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
8.2000E-02,1.9100E-02,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.2500E-01,6.3800E-02,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.7600E-01,5.4400E-02,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.9400E-01,1.4200E-01,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
2.1900E-01,2.0800E-01,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
2.3000E-01,1.8600E-01,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
2.9200E-01,2.4400E-01,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
3.3900E-01,4.2200E-01,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
4.3400E-01,9.1100E-01,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
5.5200E-01,2.2400E+00,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
5.9200E-01,2.7500E+00,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
6.8300E-01,5.5100E+00,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
7.0200E-01,5.8000E+00,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
7.1300E-01,6.3200E+00,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
7.4100E-01,7.7500E+00,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
8.3000E-01,2.0000E+01,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
8.3700E-01,2.2200E+01,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
8.5100E-01,2.2500E+01,1.0000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.0900E-02,1.1000E-03,1.8000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.5700E-02,4.6400E-02,1.8000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
5.2300E-02,2.7100E-01,1.8000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.4500E-01,1.5700E+00,1.8000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
2.5900E-01,4.5300E+00,1.8000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
3.2400E-01,7.5800E+00,1.8000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
5.0800E-01,1.6400E+01,1.8000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
5.2700E-01,2.6500E+01,1.8000E+02,6.5000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.0910E+00,2.5092E+02,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.0680E+00,2.1611E+02,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.0520E+00,2.5092E+02,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.0430E+00,2.1466E+02,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.0010E+00,1.6534E+02,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
9.2900E-01,9.8481E+01,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
8.7700E-01,6.0046E+01,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
7.7800E-01,3.1473E+01,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
7.1100E-01,1.7550E+01,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
6.9900E-01,1.7550E+01,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
6.5700E-01,1.2488E+01,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
6.5400E-01,1.0573E+01,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
6.0800E-01,9.1519E+00,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
5.7700E-01,6.7007E+00,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
5.4300E-01,7.7015E+00,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
5.0800E-01,4.1046E+00,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
4.5200E-01,2.7412E+00,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
3.8100E-01,1.6679E+00,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
3.4400E-01,1.2865E+00,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
2.9100E-01,7.7740E-01,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
2.6200E-01,5.6710E-01,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
2.2100E-01,3.6550E-01,1.2200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
9.0900E-01,2.7412E+02,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
8.4900E-01,2.4076E+02,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
8.0600E-01,2.1176E+02,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
7.1200E-01,1.4315E+02,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
6.4000E-01,9.6015E+01,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
6.3900E-01,8.9923E+01,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
5.7100E-01,7.3824E+01,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
5.2200E-01,5.7435E+01,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
4.5600E-01,3.9595E+01,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
3.1600E-01,1.8275E+01,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
2.1700E-01,9.4710E+00,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
2.1000E-01,7.9916E+00,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.8200E-01,6.9908E+00,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.1600E-01,2.5382E+00,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
1.0000E-01,2.3931E+00,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
9.5000E-02,1.9435E+00,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
7.1000E-02,1.3474E+00,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
5.7000E-02,7.0633E-01,2.1200E+02,6.0000E+01,1.0514E+02,,,,,,,,,,,,,,,
