Temperature,Amine Weight Percent,Loading,Pressure,Amine Molar Mass
1.0387E+02,2.3630E+01,1.5100E-02,5.8015E-03,1.1901E+02
1.0389E+02,2.3630E+01,3.0100E-02,1.6389E-02,1.1901E+02
1.0393E+02,2.3630E+01,4.5200E-02,3.2488E-02,1.1901E+02
1.0396E+02,2.3630E+01,6.0100E-02,5.1488E-02,1.1901E+02
1.0396E+02,2.3630E+01,7.5400E-02,7.3824E-02,1.1901E+02
1.0395E+02,2.3630E+01,1.0490E-01,1.2865E-01,1.1901E+02
1.0398E+02,2.3630E+01,1.3460E-01,1.9609E-01,1.1901E+02
1.0395E+02,2.3630E+01,1.4940E-01,2.3366E-01,1.1901E+02
1.0393E+02,2.3630E+01,3.5600E-02,2.6542E-02,1.1901E+02
1.0422E+02,2.3630E+01,4.9700E-02,4.2206E-02,1.1901E+02
1.0418E+02,2.3630E+01,6.3800E-02,6.0336E-02,1.1901E+02
1.0407E+02,2.3630E+01,9.2000E-02,1.0660E-01,1.1901E+02
1.0418E+02,2.3630E+01,1.2010E-01,1.6360E-01,1.1901E+02
7.7000E+01,1.1830E+01,1.0100E-02,4.4962E-03,1.1901E+02
7.7018E+01,1.1830E+01,2.0200E-02,9.5725E-03,1.1901E+02
7.7018E+01,1.1830E+01,6.0600E-02,2.5527E-02,1.1901E+02
7.7000E+01,1.1830E+01,1.0100E-01,4.7717E-02,1.1901E+02
7.7036E+01,1.1830E+01,1.2080E-01,6.1351E-02,1.1901E+02
7.6964E+01,1.1830E+01,1.6100E-01,9.5870E-02,1.1901E+02
7.6640E+01,1.1830E+01,2.0110E-01,1.3706E-01,1.1901E+02
7.7018E+01,1.1830E+01,2.4110E-01,1.8536E-01,1.1901E+02
7.7018E+01,1.1830E+01,2.6100E-01,2.1292E-01,1.1901E+02
7.9142E+01,1.1830E+01,1.5400E-02,3.3359E-03,1.1901E+02
7.7018E+01,1.1830E+01,2.3300E-02,7.1068E-03,1.1901E+02
7.7036E+01,1.1830E+01,3.0800E-02,1.0298E-02,1.1901E+02
7.6964E+01,1.1830E+01,4.6300E-02,1.8710E-02,1.1901E+02
7.7018E+01,1.1830E+01,7.7000E-02,3.1618E-02,1.1901E+02
7.7036E+01,1.1830E+01,1.3840E-01,6.9908E-02,1.1901E+02
7.7000E+01,1.1830E+01,2.2990E-01,1.5824E-01,1.1901E+02
1.0400E+02,3.5000E+01,4.1000E-03,2.6542E-04,1.1901E+02
1.0400E+02,3.5000E+01,4.7800E-03,3.5099E-04,1.1901E+02
1.0400E+02,3.5000E+01,6.7100E-03,7.9771E-04,1.1901E+02
1.0400E+02,3.5000E+01,1.0800E-02,2.0450E-03,1.1901E+02
1.0400E+02,3.5000E+01,1.5800E-02,4.4237E-03,1.1901E+02
1.0400E+02,3.5000E+01,2.4700E-02,9.8916E-03,1.1901E+02
1.0400E+02,3.5000E+01,3.2400E-02,1.4069E-02,1.1901E+02
1.0400E+02,3.5000E+01,4.2500E-02,2.5817E-02,1.1901E+02
1.0400E+02,3.5000E+01,5.0700E-02,4.2786E-02,1.1901E+02
1.0400E+02,3.5000E+01,7.3000E-02,6.4542E-02,1.1901E+02
1.0400E+02,3.5000E+01,7.4600E-02,9.4420E-02,1.1901E+02
1.0400E+02,3.5000E+01,8.8300E-02,8.7748E-02,1.1901E+02
1.0400E+02,3.5000E+01,1.0080E-01,1.5026E-01,1.1901E+02
1.0400E+02,3.5000E+01,1.2500E-01,2.0436E-01,1.1901E+02
1.0400E+02,3.5000E+01,1.4500E-01,2.6295E-01,1.1901E+02
1.0400E+02,3.5000E+01,1.6160E-01,3.3083E-01,1.1901E+02
1.0400E+02,3.5000E+01,1.7550E-01,3.7550E-01,1.1901E+02
1.0400E+02,3.5000E+01,2.1230E-01,4.9037E-01,1.1901E+02
1.0400E+02,3.5000E+01,2.1500E-01,4.7717E-01,1.1901E+02
1.0400E+02,3.5000E+01,4.7300E-01,2.5817E+00,1.1901E+02
1.0400E+02,3.5000E+01,6.6400E-01,6.5557E+00,1.1901E+02
1.0400E+02,3.5000E+01,8.3000E-01,1.2488E+01,1.1901E+02
1.0400E+02,3.5000E+01,8.6900E-01,1.4939E+01,1.1901E+02
1.0400E+02,3.5000E+01,1.0770E+00,4.5397E+01,1.1901E+02
2.1200E+02,3.5000E+01,2.1000E-02,7.9916E-02,1.1901E+02
2.1200E+02,3.5000E+01,3.0000E-02,1.7042E-01,1.1901E+02
2.1200E+02,3.5000E+01,3.3000E-02,3.2822E-01,1.1901E+02
2.1200E+02,3.5000E+01,4.4000E-02,5.1895E-01,1.1901E+02
2.1200E+02,3.5000E+01,5.3000E-02,5.8015E-01,1.1901E+02
2.1200E+02,3.5000E+01,6.5000E-02,1.3316E+00,1.1901E+02
2.1200E+02,3.5000E+01,1.0400E-01,2.1205E+00,1.1901E+02
2.1200E+02,3.5000E+01,1.4300E-01,3.1618E+00,1.1901E+02
2.1200E+02,3.5000E+01,1.5300E-01,3.2271E+00,1.1901E+02
2.1200E+02,3.5000E+01,2.7900E-01,9.5348E+00,1.1901E+02
2.1200E+02,3.5000E+01,3.3400E-01,1.5214E+01,1.1901E+02
2.1200E+02,3.5000E+01,5.4800E-01,4.3758E+01,1.1901E+02
1.0400E+02,5.0000E+01,2.2000E-02,9.0794E-03,1.1901E+02
1.0400E+02,5.0000E+01,2.3300E-02,1.4794E-02,1.1901E+02
1.0400E+02,5.0000E+01,2.9400E-02,3.0458E-02,1.1901E+02
1.0400E+02,5.0000E+01,3.6900E-02,5.2359E-02,1.1901E+02
1.0400E+02,5.0000E+01,5.3000E-02,9.3404E-02,1.1901E+02
1.0400E+02,5.0000E+01,7.5700E-02,1.5867E-01,1.1901E+02
1.0400E+02,5.0000E+01,8.6300E-02,1.9406E-01,1.1901E+02
1.0400E+02,5.0000E+01,1.0150E-01,2.6542E-01,1.1901E+02
1.0400E+02,5.0000E+01,1.1060E-01,3.0124E-01,1.1901E+02
1.0400E+02,5.0000E+01,1.2100E-01,3.4432E-01,1.1901E+02
1.0400E+02,5.0000E+01,1.4630E-01,4.4411E-01,1.1901E+02
1.0400E+02,5.0000E+01,1.7190E-01,5.8363E-01,1.1901E+02
1.0400E+02,5.0000E+01,1.9450E-01,7.0532E-01,1.1901E+02
1.0400E+02,5.0000E+01,2.1400E-01,8.5152E-01,1.1901E+02
7.7000E+01,4.8800E+01,1.0000E-02,1.3685E-03,1.1901E+02
7.7000E+01,4.8800E+01,1.4046E-02,2.5656E-03,1.1901E+02
7.7000E+01,4.8800E+01,2.0231E-02,4.9909E-03,1.1901E+02
7.7000E+01,4.8800E+01,2.9508E-02,9.7089E-03,1.1901E+02
7.7000E+01,4.8800E+01,4.8812E-02,2.3577E-02,1.1901E+02
7.7000E+01,4.8800E+01,6.9427E-02,4.2596E-02,1.1901E+02
7.7000E+01,4.8800E+01,1.2542E-01,1.3904E-01,1.1901E+02
7.7000E+01,4.8800E+01,1.8065E-01,3.5035E-01,1.1901E+02
7.7000E+01,4.8800E+01,2.5373E-01,7.9017E-01,1.1901E+02
7.7000E+01,4.8800E+01,3.5638E-01,1.7821E+00,1.1901E+02
7.7000E+01,4.8800E+01,5.9698E-01,6.0360E+00,1.1901E+02
7.7000E+01,4.8800E+01,7.7752E-01,1.2184E+01,1.1901E+02
1.0400E+02,4.8800E+01,5.3306E-03,8.7819E-04,1.1901E+02
1.0400E+02,4.8800E+01,7.0306E-03,1.4735E-03,1.1901E+02
1.0400E+02,4.8800E+01,1.1926E-02,3.5784E-03,1.1901E+02
1.0400E+02,4.8800E+01,1.8760E-02,8.0704E-03,1.1901E+02
1.0400E+02,4.8800E+01,3.0644E-02,1.9598E-02,1.1901E+02
1.0400E+02,4.8800E+01,5.1331E-02,5.3174E-02,1.1901E+02
1.0400E+02,4.8800E+01,7.1197E-02,9.6069E-02,1.1901E+02
1.0400E+02,4.8800E+01,9.3903E-02,1.5535E-01,1.1901E+02
1.0400E+02,4.8800E+01,1.3356E-01,3.1358E-01,1.1901E+02
1.0400E+02,4.8800E+01,1.5730E-01,4.3736E-01,1.1901E+02
1.0400E+02,4.8800E+01,2.4433E-01,1.0621E+00,1.1901E+02
1.0400E+02,4.8800E+01,3.7009E-01,2.6763E+00,1.1901E+02
1.0400E+02,4.8800E+01,5.0056E-01,6.0360E+00,1.1901E+02
1.0400E+02,4.8800E+01,7.3935E-01,1.7634E+01,1.1901E+02
1.0400E+02,4.8800E+01,8.4911E-01,2.5521E+01,1.1901E+02
1.5800E+02,4.8800E+01,1.4046E-03,2.4987E-04,1.1901E+02
1.5800E+02,4.8800E+01,1.9728E-03,4.6844E-04,1.1901E+02
1.5800E+02,4.8800E+01,2.7021E-03,8.7819E-04,1.1901E+02
1.5800E+02,4.8800E+01,4.1446E-03,1.9087E-03,1.1901E+02
1.5800E+02,4.8800E+01,5.7486E-03,3.3233E-03,1.1901E+02
1.5800E+02,4.8800E+01,7.3935E-03,5.1788E-03,1.1901E+02
1.5800E+02,4.8800E+01,1.0385E-02,9.7089E-03,1.1901E+02
1.5800E+02,4.8800E+01,1.4586E-02,1.8201E-02,1.1901E+02
1.5800E+02,4.8800E+01,2.1275E-02,3.6741E-02,1.1901E+02
1.5800E+02,4.8800E+01,2.8775E-02,6.3970E-02,1.1901E+02
1.5800E+02,4.8800E+01,4.1446E-02,1.2444E-01,1.1901E+02
1.5800E+02,4.8800E+01,5.6767E-02,2.2483E-01,1.1901E+02
1.5800E+02,4.8800E+01,8.0743E-02,4.3736E-01,1.1901E+02
1.5800E+02,4.8800E+01,1.1777E-01,8.5080E-01,1.1901E+02
1.5800E+02,4.8800E+01,1.6131E-01,1.5950E+00,1.1901E+02
1.5800E+02,4.8800E+01,2.1544E-01,2.7771E+00,1.1901E+02
1.5800E+02,4.8800E+01,3.0644E-01,6.2633E+00,1.1901E+02
1.5800E+02,4.8800E+01,4.0928E-01,1.1742E+01,1.1901E+02
1.5800E+02,4.8800E+01,6.0453E-01,2.9588E+01,1.1901E+02
2.1200E+02,4.8800E+01,4.7004E-03,7.4952E-03,1.1901E+02
2.1200E+02,4.8800E+01,6.4379E-03,1.3541E-02,1.1901E+02
2.1200E+02,4.8800E+01,9.6296E-03,2.8364E-02,1.1901E+02
2.1200E+02,4.8800E+01,1.3356E-02,5.1244E-02,1.1901E+02
2.1200E+02,4.8800E+01,1.8760E-02,9.6069E-02,1.1901E+02
2.1200E+02,4.8800E+01,2.8415E-02,1.9392E-01,1.1901E+02
2.1200E+02,4.8800E+01,3.7009E-02,3.1358E-01,1.1901E+02
2.1200E+02,4.8800E+01,5.8951E-02,7.0722E-01,1.1901E+02
2.1200E+02,4.8800E+01,9.5092E-02,1.6551E+00,1.1901E+02
2.1200E+02,4.8800E+01,1.4771E-01,4.1706E+00,1.1901E+02
2.1200E+02,4.8800E+01,1.7616E-01,5.8169E+00,1.1901E+02
2.1200E+02,4.8800E+01,2.2093E-01,9.7603E+00,1.1901E+02
2.1200E+02,4.8800E+01,3.3889E-01,2.4594E+01,1.1901E+02
2.1200E+02,4.8800E+01,5.3306E-01,6.1975E+01,1.1901E+02
2.1200E+02,4.8800E+01,6.7702E-01,9.3072E+01,1.1901E+02
2.4800E+02,4.8800E+01,1.0516E-02,6.8879E-02,1.1901E+02
2.4800E+02,4.8800E+01,1.3697E-02,1.1138E-01,1.1901E+02
2.4800E+02,4.8800E+01,1.7178E-02,1.6727E-01,1.1901E+02
2.4800E+02,4.8800E+01,2.4128E-02,3.0220E-01,1.1901E+02
2.4800E+02,4.8800E+01,3.7009E-02,6.3298E-01,1.1901E+02
2.4800E+02,4.8800E+01,5.3981E-02,1.2313E+00,1.1901E+02
2.4800E+02,4.8800E+01,6.5194E-02,1.7821E+00,1.1901E+02
2.4800E+02,4.8800E+01,8.4911E-02,2.7771E+00,1.1901E+02
2.4800E+02,4.8800E+01,1.3356E-01,6.7439E+00,1.1901E+02
2.4800E+02,4.8800E+01,1.6335E-01,1.0509E+01,1.1901E+02
2.4800E+02,4.8800E+01,2.0231E-01,1.6377E+01,1.1901E+02
2.4800E+02,4.8800E+01,2.6020E-01,2.7479E+01,1.1901E+02
1.0000E+02,2.0000E+01,6.7918E-01,1.5908E+00,1.1901E+02
1.0000E+02,2.0000E+01,7.4210E-01,2.3813E+00,1.1901E+02
1.0000E+02,2.0000E+01,8.0963E-01,3.7804E+00,1.1901E+02
1.0000E+02,2.0000E+01,8.3268E-01,4.5481E+00,1.1901E+02
1.0000E+02,2.0000E+01,8.6034E-01,5.7547E+00,1.1901E+02
1.0000E+02,2.0000E+01,8.9571E-01,8.1219E+00,1.1901E+02
1.0000E+02,2.0000E+01,9.2342E-01,1.0991E+01,1.1901E+02
1.0000E+02,2.0000E+01,9.4653E-01,1.4626E+01,1.1901E+02
1.0000E+02,2.0000E+01,9.6811E-01,1.9463E+01,1.1901E+02
1.0000E+02,2.0000E+01,9.7891E-01,2.2833E+01,1.1901E+02
1.5008E+02,2.0000E+01,4.8207E-01,1.5908E+00,1.1901E+02
1.5008E+02,2.0000E+01,4.9433E-01,1.7015E+00,1.1901E+02
1.5008E+02,2.0000E+01,5.0660E-01,1.8198E+00,1.1901E+02
1.5008E+02,2.0000E+01,5.2961E-01,2.0817E+00,1.1901E+02
1.5008E+02,2.0000E+01,5.5567E-01,2.3613E+00,1.1901E+02
1.5008E+02,2.0000E+01,6.2776E-01,3.5644E+00,1.1901E+02
1.5008E+02,2.0000E+01,6.5230E-01,4.1118E+00,1.1901E+02
1.5008E+02,2.0000E+01,6.7686E-01,4.8237E+00,1.1901E+02
1.5008E+02,2.0000E+01,6.9986E-01,5.4717E+00,1.1901E+02
1.5008E+02,2.0000E+01,7.4129E-01,7.1001E+00,1.1901E+02
1.5008E+02,2.0000E+01,7.9194E-01,9.9368E+00,1.1901E+02
1.5008E+02,2.0000E+01,8.4569E-01,1.4874E+01,1.1901E+02
1.5008E+02,2.0000E+01,8.9486E-01,2.2452E+01,1.1901E+02
1.5008E+02,2.0000E+01,9.2408E-01,2.9878E+01,1.1901E+02
1.5008E+02,2.0000E+01,9.5794E-01,4.2883E+01,1.1901E+02
2.4008E+02,2.0000E+01,1.3368E-01,1.5908E+00,1.1901E+02
2.4008E+02,2.0000E+01,1.8274E-01,2.0470E+00,1.1901E+02
2.4008E+02,2.0000E+01,2.4407E-01,2.8171E+00,1.1901E+02
2.4008E+02,2.0000E+01,3.1614E-01,4.0774E+00,1.1901E+02
2.4008E+02,2.0000E+01,3.5601E-01,5.0731E+00,1.1901E+02
2.4008E+02,2.0000E+01,3.9281E-01,6.1549E+00,1.1901E+02
2.4008E+02,2.0000E+01,4.2655E-01,7.4047E+00,1.1901E+02
2.4008E+02,2.0000E+01,4.7869E-01,9.8537E+00,1.1901E+02
2.4008E+02,2.0000E+01,5.4616E-01,1.4143E+01,1.1901E+02
2.4008E+02,2.0000E+01,6.3664E-01,2.3026E+01,1.1901E+02
2.4008E+02,2.0000E+01,6.5505E-01,2.5684E+01,1.1901E+02
2.4008E+02,2.0000E+01,7.2100E-01,3.7488E+01,1.1901E+02
2.4008E+02,2.0000E+01,7.9924E-01,5.9514E+01,1.1901E+02
2.4008E+02,2.0000E+01,8.8055E-01,9.7712E+01,1.1901E+02
2.4008E+02,2.0000E+01,9.3579E-01,1.3791E+02,1.1901E+02
